representation,num_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,clusterer,model,modality,device,amp,run_name,run_dir
latent,2.0,0.787649393081665,11141.37206648041,0.30465722555956887,0.9613495324411124,0.9142491911020885,0.9906340057636888,kmeans,vae,lyrics,cuda,True,easy_lyrics_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195035_lyrics_vae_kmeans
pca_kmeans,2.0,0.9651228785514832,893.9510541261948,0.42410620073441785,0.0034087607840794336,0.004589087717581137,0.7215417867435159,kmeans,pca,lyrics,cpu,False,easy_lyrics_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195035_lyrics_vae_kmeans
latent,10.0,0.22621877491474152,264.96157991454373,1.264925473566736,0.15310093624488832,0.2891331019872384,0.354,kmeans,vae,audio,cuda,True,medium_audio_mfcc_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195059_audio_vae_kmeans
pca_kmeans,10.0,0.1138773113489151,118.96601281601593,2.088577932364686,0.1726096687135293,0.31231930057600027,0.39,kmeans,pca,audio,cpu,False,medium_audio_mfcc_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195059_audio_vae_kmeans
latent,10.0,0.22450631856918335,232.27836973727648,1.2473641390565977,0.17119623056841646,0.30624168375822625,0.366,agglo,vae,audio,cuda,True,medium_audio_mfcc_vae_agglo,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195144_audio_vae_agglo
pca_kmeans,10.0,0.1138773113489151,118.96601281601593,2.088577932364686,0.1726096687135293,0.31231930057600027,0.39,kmeans,pca,audio,cpu,False,medium_audio_mfcc_vae_agglo,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195144_audio_vae_agglo
latent,4.0,0.2081483155488968,28.801835213503058,1.7701164930708684,0.0010890491542860335,0.03466726131137685,0.124,dbscan,vae,audio,cuda,True,medium_audio_mfcc_vae_dbscan,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195155_audio_vae_dbscan
pca_kmeans,10.0,0.1138773113489151,118.96601281601593,2.088577932364686,0.1726096687135293,0.31231930057600027,0.39,kmeans,pca,audio,cpu,False,medium_audio_mfcc_vae_dbscan,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195155_audio_vae_dbscan
latent,4.0,0.4539547860622406,816.881052603728,0.6714814610856145,0.04414093907458555,0.0640047199550991,0.37,kmeans,conv_vae,audio,cuda,True,medium_audio_mel_conv_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195206_audio_conv_vae_kmeans
pca_kmeans,4.0,0.17028461396694183,169.93680851670533,1.7606594196587502,0.09525825376739906,0.13831091734879317,0.4275,kmeans,pca,audio,cpu,False,medium_audio_mel_conv_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195206_audio_conv_vae_kmeans
latent,20.0,0.7362487316131592,1298.7781859737004,0.6484973476859335,-0.009195781187341585,0.0888136559204762,0.09978386167146974,kmeans,beta_vae,multimodal,cuda,True,hard_multimodal_beta_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195233_multimodal_beta_vae_kmeans
pca_kmeans,20.0,0.6841168999671936,462.51663816364425,0.7613244437609581,0.06213516863955221,0.24806057254980937,0.11455331412103746,kmeans,pca,multimodal,cpu,False,hard_multimodal_beta_vae_kmeans,C:\Users\User\Documents\CSE425_NN_project\results\20251223_195233_multimodal_beta_vae_kmeans
